Player,Pos,Age,Min,MP,Goals
Max Aarons,DF,22.0,2881,34,0.0
Yunis Abdelhamid,DF,34.0,2983,34,0.06
Salis Abdul Samed,MF,22.0,2462,31,0.04
Laurent Abergel,MF,29.0,2956,34,0.0
Charles Abi,FW,22.0,45,1,0.0
Dickson Abiama,FW,23.0,726,24,0.0
Matthis Abline,FW,19.0,103,7,0.0
Tammy Abraham,FW,24.0,3084,37,0.5
Luis Abram,DF,26.0,560,8,0.0
Francesco Acerbi,DF,34.0,2536,30,0.14
Ragnar Ache,MFFW,23.0,259,13,0.0
Mohamed Achi,MF,20.0,10,1,0.0
Marcos Acuña,DF,30.0,2260,31,0.04
Che Adams,FW,25.0,2039,30,0.31
Tyler Adams,MF,23.0,1351,24,0.0
Sargis Adamyan,FWMF,29.0,331,13,0.27
Martin Adeline,MFFW,18.0,352,8,0.0
Amine Adli,FWMF,22.0,1256,25,0.21
Yacine Adli,MFFW,21.0,2260,36,0.04
Michel Aebischer,MF,25.0,443,12,0.0
Felix Afena-Gyan,FWMF,19.0,668,17,0.27
Martin Agirregabiria,DF,26.0,1616,24,0.0
Julen Agirrezabala,GK,21.0,360,4,0.0
Lucien Agoume,MF,20.0,1868,27,0.0
Kevin Agudelo,MFFW,23.0,1237,23,0.22
Nayef Aguerd,DF,26.0,2735,31,0.07
Sergio Agüero,FW,33.0,151,4,0.59
Ruben Aguilar,DF,29.0,2140,28,0.0
Álvaro Aguirre,FW,22.0,9,1,0.0
Naouirou Ahamada,MF,20.0,61,3,0.0
Anel Ahmedhodzic,DF,23.0,1350,15,0.0
Jean-Eudes Aholou,MF,28.0,1004,25,0.09
Joseph Aidoo,DF,26.0,2637,32,0.0
Ola Aina,DF,25.0,1437,21,0.0
Rayan Aït Nouri,DF,20.0,1828,23,0.05
Kristoffer Ajer,DF,24.0,1995,24,0.05
Ludovic Ajorque,FW,28.0,2738,36,0.39
Manuel Akanji,DF,26.0,2261,26,0.04
Carlos Akapo,DF,29.0,1844,25,0.0
Marley Aké,MFFW,21.0,77,4,0.0
Nathan Aké,DF,27.0,923,14,0.19
Ilias Akhomach,FW,18.0,124,2,0.0
Maghnes Akliouche,MFFW,20.0,54,7,0.0
Paul Akouokou,MF,24.0,516,8,0.0
Jean-Daniel Akpa-Akpro,MF,29.0,315,10,0.0
Kevin Akpoguma,DF,27.0,1527,26,0.12
David Alaba,DF,29.0,2642,30,0.07
Sofiane Alakouch,DFMF,23.0,158,4,0.0
Tomás Alarcón,MF,23.0,1425,23,0.0
Lucas Alario,FW,29.0,655,27,0.82
Jordi Alba,DF,33.0,2644,30,0.07
Josué Albert,DF,30.0,22,2,0.0
Luis Alberto,MF,29.0,2353,34,0.19
Raúl Albiol,DF,36.0,2465,28,0.0
Marc Albrighton,FWDF,32.0,1132,17,0.08
Paco Alcácer,FW,28.0,787,18,0.11
Thiago Alcántara,MF,31.0,1534,25,0.06
Rubén Alcaraz,MF,31.0,1105,14,0.16
Omar Alderete,DF,25.0,2403,29,0.07
Iván Alejo,MFFW,27.0,1065,20,0.17
Doðan Alemdar,GK,19.0,1080,12,0.0
Carles Aleñá,MF,24.0,2320,33,0.04
Trent Alexander-Arnold,DF,23.0,2853,32,0.06
Mircea Alexandru Tirlea,DF,22.0,15,1,0.0
Mohamed Ali Cho,FW,18.0,1837,32,0.2
Alisson,GK,29.0,3240,36,0.0
Allan,MF,31.0,2183,28,0.0
Jim Allevinah,FW,27.0,1488,30,0.06
Dele Alli,MF,26.0,338,11,0.0
Dele Alli,MFFW,26.0,657,10,0.14
Miguel Almirón,MFFW,28.0,1716,30,0.05
Marcos Alonso,DF,31.0,2167,28,0.17
Giorgio Altare,DF,23.0,1466,19,0.06
Hugo Álvarez,FW,36.0,11,1,0.0
