,Date,Time,Team1,Team2,Score,Type,Temperature,Wind,Goals_Team1,Goals_Team2,Match_Winner
0,2022-11-20,19:00,Qatar,Ecuador,0-2,Group Stage,75.0,12,0,2,Ecuador
1,2022-11-21,19:00,Senegal,Netherlands,0-2,Group Stage,75.0,8,0,2,Netherlands
2,2022-11-25,16:00,Qatar,Senegal,1-3,Group Stage,81.0,9,1,3,Senegal
3,2022-11-25,19:00,Netherlands,Ecuador,1-1,Group Stage,79.0,5,1,1,Draw
4,2022-11-29,18:00,Ecuador,Senegal,1-2,Group Stage,79.0,2,1,2,Senegal
5,2022-11-29,18:00,Netherlands,Qatar,2-0,Group Stage,79.0,2,2,0,Netherlands
6,2022-11-21,16:00,England,Iran,6-2,Group Stage,79.0,12,6,2,England
7,2022-11-21,22:00,United States,Wales,1-1,Group Stage,73.0,5,1,1,Draw
8,2022-11-25,13:00,Wales,Iran,0-2,Group Stage,84.0,10,0,2,Iran
9,2022-11-25,22:00,England,United States,0-0,Group Stage,75.0,2,0,0,Draw
10,2022-11-29,22:00,Wales,England,0-3,Group Stage,75.0,1,0,3,England
11,2022-11-29,22:00,Iran,United States,0-1,Group Stage,75.0,1,0,1,United States
12,2022-11-22,13:00,Argentina,Saudi Arabia,1-2,Group Stage,81.0,5,1,2,Saudi Arabia
13,2022-11-22,19:00,Mexico,Poland,0-0,Group Stage,75.0,7,0,0,Draw
14,2022-11-26,16:00,Poland,Saudi Arabia,2-0,Group Stage,82.0,5,2,0,Poland
15,2022-11-26,22:00,Argentina,Mexico,2-0,Group Stage,77.0,2,2,0,Argentina
16,2022-11-30,22:00,Poland,Argentina,0-2,Group Stage,77.0,3,0,2,Argentina
17,2022-11-30,22:00,Saudi Arabia,Mexico,1-2,Group Stage,77.0,3,1,2,Mexico
18,2022-11-22,16:00,Denmark,Tunisia,0-0,Group Stage,79.0,5,0,0,Draw
19,2022-11-22,22:00,France,Australia,4-1,Group Stage,75.0,2,4,1,France
20,2022-11-26,13:00,Tunisia,Australia,0-1,Group Stage,88.0,7,0,1,Australia
21,2022-11-26,19:00,France,Denmark,2-1,Group Stage,79.0,2,2,1,France
22,2022-11-30,18:00,Australia,Denmark,1-0,Group Stage,79.0,7,1,0,Australia
23,2022-11-30,18:00,Tunisia,France,1-0,Group Stage,79.0,7,1,0,Tunisia
24,2022-11-23,16:00,Germany,Japan,1-2,Group Stage,79.0,7,1,2,Japan
25,2022-11-23,19:00,Spain,Costa Rica,7-0,Group Stage,75.0,5,7,0,Spain
26,2022-11-27,13:00,Japan,Costa Rica,0-1,Group Stage,90.0,13,0,1,Costa Rica
27,2022-11-27,22:00,Spain,Germany,1-1,Group Stage,79.0,3,1,1,Draw
28,2022-12-01,22:00,Japan,Spain,2-1,Group Stage,77.0,5,2,1,Japan
29,2022-12-01,22:00,Costa Rica,Germany,2-4,Group Stage,77.0,5,2,4,Germany
30,2022-11-23,13:00,Morocco,Croatia,0-0,Group Stage,81.0,6,0,0,Draw
31,2022-11-23,22:00,Belgium,Canada,1-0,Group Stage,75.0,2,1,0,Belgium
32,2022-11-27,16:00,Belgium,Morocco,0-2,Group Stage,86.0,10,0,2,Morocco
33,2022-11-27,19:00,Croatia,Canada,4-1,Group Stage,82.0,7,4,1,Croatia
34,2022-12-01,18:00,Croatia,Belgium,0-0,Group Stage,79.0,5,0,0,Draw
35,2022-12-01,18:00,Canada,Morocco,1-2,Group Stage,79.0,5,1,2,Morocco
36,2022-11-24,13:00,Switzerland,Cameroon,1-0,Group Stage,82.0,3,1,0,Switzerland
37,2022-11-24,22:00,Brazil,Serbia,2-0,Group Stage,75.0,3,2,0,Brazil
38,2022-11-28,13:00,Cameroon,Serbia,3-3,Group Stage,90.0,18,3,3,Draw
39,2022-11-28,19:00,Brazil,Switzerland,1-0,Group Stage,79.0,13,1,0,Brazil
40,2022-12-02,22:00,Serbia,Switzerland,2-3,Group Stage,77.0,5,2,3,Switzerland
41,2022-12-02,22:00,Cameroon,Brazil,1-0,Group Stage,77.0,5,1,0,Cameroon
43,2022-11-24,19:00,Portugal,Ghana,3-2,Group Stage,75.0,0,3,2,Portugal
44,2022-11-28,16:00,South Korea,Ghana,2-3,Group Stage,84.0,10,2,3,Ghana
45,2022-11-28,22:00,Portugal,Uruguay,2-0,Group Stage,77.0,10,2,0,Portugal
47,2022-12-02,18:00,South Korea,Portugal,2-1,Group Stage,79.0,5,2,1,South Korea
48,2022-12-03,18:00,Netherlands,United States,3-1,Round of 16,79.0,8,3,1,Netherlands
49,2022-12-03,22:00,Argentina,Australia,2-1,Round of 16,77.0,6,2,1,Argentina
50,2022-12-04,18:00,France,Poland,3-1,Round of 16,79.0,7,3,1,France
51,2022-12-04,22:00,England,Senegal,3-0,Round of 16,77.0,1,3,0,England
52,2022-12-05,18:00,Japan,Croatia,1-1,Round of 16,79.0,5,1,1,Draw
53,2022-12-05,22:00,Brazil,South Korea,4-1,Round of 16,77.0,6,4,1,Brazil
54,2022-12-06,18:00,Morocco,Spain,0-0,Round of 16,77.0,6,0,0,Draw
55,2022-12-06,22:00,Portugal,Switzerland,6-1,Round of 16,77.0,6,6,1,Portugal
56,2022-12-09,18:00,Croatia,Brazil,1-1,Quarter-finals,73.0,12,1,1,Draw
57,2022-12-09,22:00,Netherlands,Argentina,2-2,Quarter-finals,72.0,7,2,2,Draw
58,2022-12-10,18:00,Morocco,Portugal,1-0,Quarter-finals,70.0,9,1,0,Morocco
59,2022-12-10,22:00,England,France,1-2,Quarter-finals,68.0,10,1,2,France
60,2022-12-13,22:00,Argentina,Croatia,3-0,Semi-finals,70.0,3,3,0,Argentina
61,2022-12-14,22:00,France,Morocco,2-0,Semi-finals,70.0,2,2,0,France
62,2022-12-17,18:00,Croatia,Morocco,2-1,Match for third place,73.0,9,2,1,Croatia
63,2022-12-18,18:00,Argentina,France,3-3,Final,72.0,12,3,3,Draw
