Player Name,Appearances,Goals Scored,Assists Provided,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90
Emiliano Martinez,7,0,0,0.00,0.00,0.00,0.65
Franco Armani,0,0,0,0,0,0,0
Geronimo Rulli,0,0,0,0,0,0,0
Nicolas Otamendi,7,0,1,0.33,1.17,1.30,7.17
Marcos Acuna,6,0,0,1.45,0.48,2.90,7.97
Nicolas Tagliafico,6,0,0,0.48,2.17,1.69,5.07
German Pezzella,3,0,0,0.00,0.00,0.00,3.16
Nahuel Molina,7,1,1,0.32,0.47,1.42,1.58
Gonzalo Montiel,4,0,0,0.77,0.77,2.31,5.39
Juan Foyth,1,0,0,0,0.00,0.00,0
Cristian Romero,7,0,0,0.16,0.49,0.82,5.09
Lisandro Martinez,5,0,0,0.30,0.90,1.50,4.19
Leandro Paredes,5,0,0,0.40,1.21,4.02,9.24
Rodrigo De Paul,7,0,0,0.60,1.05,1.79,4.64
Guido Rodriguez,1,0,0,0.00,0.00,3.16,6.32
Exequiel Palacios,3,0,0,0.00,3.83,1.91,7.66
Alexis Mac Allister,6,1,1,0.97,0.49,1.46,5.85
Enzo Fernandez,7,1,1,0.80,0.48,3.52,7.83
Alejandro Gomez,2,0,0,0.83,0.83,1.65,8.26
Lionel Messi,7,7,3,3.78,0.00,0.65,6.39
Lautaro Martinez,6,0,0,1.89,0.38,0.00,6.81
Paulo Dybala,2,0,0,5.62,0.00,0,0
Thiago Almada,1,0,0,0.00,0.00,0.00,0.00
Julian Alvarez,7,4,0,0.58,0.00,0.77,1.93
Angel Di Maria,5,1,1,6.83,0.31,0.93,7.14
Angel Correa,1,0,0,0.00,0.00,0,0
Hugo Lloris,6,0,0,0,0,0,1.10
Alphonse Areola,0,0,0,0,0,0,0
Steve Mandanda,1,0,0,0,0,0,0.00
Benjamin Pavard,1,0,0,0.00,1.01,0.00,0.00
Jules Kounde,6,0,0,0.56,1.12,2.06,4.87
Raphael Varane,6,0,0,0.17,1.04,0.17,1.90
Axel Disasi,3,0,0,2.00,2.00,4.00,14.00
William Saliba,1,0,0,3.33,0.00,0.00,6.67
Theo Hernandez,6,1,2,0.35,0.71,2.83,8.68
Lucas Hernandez,1,0,0,0.00,0.00,6.92,6.92
Ibrahima Konate,5,0,0,0.00,2.16,4.62,8.94
Dayot Upamecano,5,0,0,0.00,1.12,2.06,5.25
