Team1,Team2,Team1 Score,Team2 Score,Stage
South Africa,Mexico,1,1,Group
Uruguay,France,0,0,Group
South Africa,Uruguay,0,3,Group
France,Mexico,0,2,Group
Mexico,Uruguay,0,1,Group
France,South Africa,1,2,Group
South Korea,Greece,2,0,Group
Argentina,Nigeria,1,0,Group
Argentina,South Korea,4,1,Group
Greece,Nigeria,2,1,Group
Nigeria,South Korea,2,2,Group
Greece,Argentina,0,2,Group
England,United States,1,1,Group
Algeria,Slovenia,0,1,Group
Slovenia,United States,2,2,Group
England,Algeria,0,0,Group
United States,Algeria,1,0,Group
Slovenia,England,0,1,Group
Serbia,Ghana,0,1,Group
Germany,Australia,4,0,Group
Germany,Serbia,0,1,Group
Ghana,Australia,1,1,Group
Australia,Serbia,2,1,Group
Ghana,Germany,0,1,Group
Netherlands,Denmark,2,0,Group
Japan,Cameroon,1,0,Group
Netherlands,Japan,1,0,Group
Cameroon,Denmark,1,2,Group
Denmark,Japan,1,3,Group
Cameroon,Netherlands,1,2,Group
Italy,Paraguay,1,1,Group
New Zealand,Slovakia,1,1,Group
Slovakia,Paraguay,0,2,Group
Italy,New Zealand,1,1,Group
Slovakia,Italy,3,2,Group
Paraguay,New Zealand,0,0,Group
Côte d'Ivoire,Portugal,0,0,Group
Brazil,North Korea,2,1,Group
Brazil,Côte d'Ivoire,3,1,Group
Portugal,North Korea,7,0,Group
Portugal,Brazil,0,0,Group
North Korea,Côte d'Ivoire,0,3,Group
Honduras,Chile,0,1,Group
Spain,Switzerland,0,1,Group
Chile,Switzerland,1,0,Group
Spain,Honduras,2,0,Group
Chile,Spain,1,2,Group
Switzerland,Honduras,0,0,Group
Uruguay,South Korea,2,1,Round of 16
United States,Ghana,1,2,Round of 16
Germany,England,4,1,Round of 16
Argentina,Mexico,3,1,Round of 16
Netherlands,Slovakia,2,1,Round of 16
Brazil,Chile,3,0,Round of 16
Paraguay,Japan,0,0,Round of 16
Spain,Portugal,1,0,Round of 16
Netherlands,Brazil,2,1,Quarter-finals
Uruguay,Ghana,1,1,Quarter-finals
Argentina,Germany,0,4,Quarter-finals
Paraguay,Spain,0,1,Quarter-finals
Uruguay,Netherlands,2,3,Semi-finals
Germany,Spain,0,1,Semi-finals
Uruguay,Germany,2,3,Match for third place
Netherlands,Spain,0,1,Final
